location_id,place_id,city,state,country,population,lat,lng,dem_m,timezone,utc_offset_hours
0,US3651000,New York,NY,US,8584629,40.6627,-73.9387,7,America/New_York,-5.0000
1,US0644000,Los Angeles,CA,US,3869089,34.0194,-118.4108,35,America/Los_Angeles,-8.0000
2,CA3520005,Toronto,ON,CA,2794356,43.7216,-79.3913,174,America/Toronto,-5.0000
3,US1714000,Chicago,IL,US,2731585,41.8370,-87.6849,182,America/Chicago,-6.0000
4,US4835000,Houston,TX,US,2397315,29.7857,-95.3888,30,America/Chicago,-6.0000
5,CA2466023,Montréal,QC,CA,1762949,45.5076,-73.7231,27,America/Toronto,-5.0000
6,US0455000,Phoenix,AZ,US,1665481,33.5722,-112.0901,346,America/Phoenix,-7.0000
7,US4260000,Philadelphia,PA,US,1574281,40.0094,-75.1333,36,America/New_York,-5.0000
8,US4865000,San Antonio,TX,US,1548422,29.4628,-98.5246,202,America/Chicago,-6.0000
9,US0666000,San Diego,CA,US,1406106,32.8304,-117.1209,136,America/Los_Angeles,-8.0000
10,US4819000,Dallas,TX,US,1329491,32.7933,-96.7665,139,America/Chicago,-6.0000
11,CA4806016,Calgary,AB,CA,1306784,51.0343,-114.0528,1052,America/Edmonton,-7.0000
12,US4827000,Fort Worth,TX,US,1028117,32.7820,-97.3486,203,America/Chicago,-6.0000
13,US1235000,Jacksonville,FL,US,1017689,30.3369,-81.6616,12,America/New_York,-5.0000
14,CA3506008,Ottawa,ON,CA,1017449,45.2118,-75.8492,123,America/Toronto,-5.0000
15,CA4811061,Edmonton,AB,CA,1010899,53.5196,-113.5020,664,America/Edmonton,-7.0000
16,US4805000,Austin,TX,US,1002632,30.2986,-97.7541,202,America/Chicago,-6.0000
17,US0668000,San Jose,CA,US,989814,37.2960,-121.8146,44,America/Los_Angeles,-8.0000
18,US3712000,Charlotte,NC,US,964784,35.2090,-80.8310,272,America/New_York,-5.0000
19,US3918000,Columbus,OH,US,938396,39.9855,-82.9856,242,America/New_York,-5.0000
20,US1836003,Indianapolis,IN,US,901116,39.7767,-86.1459,248,America/Indiana/Indianapolis,-5.0000
21,US0667000,San Francisco,CA,US,826079,37.7272,-123.0322,85,America/Los_Angeles,-8.0000
22,US5363000,Seattle,WA,US,784777,47.6193,-122.3515,56,America/Los_Angeles,-8.0000
23,CA4611040,Winnipeg,MB,CA,749607,49.8638,-97.1566,245,America/Winnipeg,-6.0000
24,US0820000,Denver,CO,US,740613,39.7619,-104.8811,1651,America/Denver,-7.0000
25,US4752006,Nashville,TN,US,721074,36.1718,-86.7850,171,America/Chicago,-6.0000
26,US4055000,Oklahoma City,OK,US,719849,35.4671,-97.5137,395,America/Chicago,-6.0000
27,CA3521005,Mississauga,ON,CA,717961,43.5946,-79.6557,159,America/Toronto,-5.0000
28,US1150000,Washington,DC,US,693645,38.9042,-77.0165,15,America/New_York,-5.0000
29,US4824000,El Paso,TX,US,683012,31.8478,-106.4311,1137,America/Denver,-7.0000
30,US3240000,Las Vegas,NV,US,679817,36.2335,-115.2640,613,America/Los_Angeles,-8.0000
31,US2507000,Boston,MA,US,672973,42.3386,-71.0183,20,America/New_York,-5.0000
32,CA5915022,Vancouver,BC,CA,662248,49.2543,-123.1112,70,America/Vancouver,-8.0000
33,CA3521010,Brampton,ON,CA,656480,43.7146,-79.7513,221,America/Toronto,-5.0000
34,US2622000,Detroit,MI,US,649095,42.3830,-83.1022,192,America/Detroit,-5.0000
35,US2148006,Louisville,KY,US,641962,38.1654,-85.6474,149,America/Kentucky/Louisville,-5.0000
36,US4159000,Portland,OR,US,635109,45.5370,-122.6500,15,America/Los_Angeles,-8.0000
37,US4748000,Memphis,TN,US,609647,35.1092,-89.9685,79,America/Chicago,-6.0000
38,US2404000,Baltimore,MD,US,569997,39.3000,-76.6105,35,America/New_York,-5.0000
39,CA3525005,Hamilton,ON,CA,569353,43.2539,-79.9588,253,America/Toronto,-5.0000
40,CA5915004,Surrey,BC,CA,568322,49.1081,-122.7971,82,America/Vancouver,-8.0000
41,US5553000,Milwaukee,WI,US,562407,43.0633,-87.9667,201,America/Chicago,-6.0000
42,US3502000,Albuquerque,NM,US,556588,35.1048,-106.6468,1513,America/Denver,-7.0000
43,US0627000,Fresno,CA,US,555549,36.7827,-119.7934,99,America/Los_Angeles,-8.0000
44,CA2423027,Québec,QC,CA,549459,46.8456,-71.2504,11,America/Toronto,-5.0000
45,US0477000,Tucson,AZ,US,548371,32.1530,-110.8708,757,America/Phoenix,-7.0000
46,US0664000,Sacramento,CA,US,536449,38.5677,-121.4682,14,America/Los_Angeles,-8.0000
47,US1304000,Atlanta,GA,US,529110,33.7629,-84.4227,336,America/New_York,-5.0000
48,US2938000,Kansas City,MO,US,521220,39.1252,-94.5503,290,America/Chicago,-6.0000
49,US0446000,Mesa,AZ,US,513656,33.3994,-111.7160,377,America/Phoenix,-7.0000
50,US3755000,Raleigh,NC,US,506306,35.8319,-78.6410,124,America/New_York,-5.0000
51,US0816000,Colorado Springs,CO,US,494743,38.8673,-104.7607,1965,America/Denver,-7.0000
52,US1245000,Miami,FL,US,489812,25.7752,-80.2086,25,America/New_York,-5.0000
53,US3137000,Omaha,NE,US,488797,41.2627,-96.0535,342,America/Chicago,-6.0000
54,US5182000,Virginia Beach,VA,US,453737,36.7795,-76.0291,4,America/New_York,-5.0000
55,US0643000,Long Beach,CA,US,450469,33.7808,-118.1682,24,America/Los_Angeles,-8.0000
56,US0653000,Oakland,CA,US,440838,37.7698,-122.2257,11,America/Los_Angeles,-8.0000
57,CA1209034,Halifax,NS,CA,439819,44.8374,-63.1757,49,America/Halifax,-4.0000
58,CA2465005,Laval,QC,CA,438366,45.6050,-73.7256,39,America/Toronto,-5.0000
59,US2743000,Minneapolis,MN,US,430324,44.9633,-93.2683,262,America/Chicago,-6.0000
60,CA3539036,London,ON,CA,422324,42.9531,-81.2368,252,America/Toronto,-5.0000
61,US0603526,Bakersfield,CA,US,422165,35.3532,-119.0379,130,America/Los_Angeles,-8.0000
62,US4075000,Tulsa,OK,US,416209,36.1279,-95.9023,226,America/Chicago,-6.0000
63,US1271000,Tampa,FL,US,413554,27.9701,-82.4797,41,America/New_York,-5.0000
64,US0804000,Aurora,CO,US,410053,39.7095,-104.7205,1651,America/Denver,-7.0000
65,US4804000,Arlington,TX,US,402134,32.7007,-97.1247,190,America/Chicago,-6.0000
66,US2079000,Wichita,KS,US,400987,37.6906,-97.3458,402,America/Chicago,-6.0000
67,US3916000,Cleveland,OH,US,363608,41.4785,-81.6794,204,America/New_York,-5.0000
68,US2255000,New Orleans,LA,US,362154,30.0534,-89.9345,5,America/Chicago,-6.0000
69,US3231900,Henderson,NV,US,353289,36.0090,-115.0268,572,America/Los_Angeles,-8.0000
70,US0602000,Anaheim,CA,US,341008,33.8555,-117.7587,116,America/Los_Angeles,-8.0000
71,CA3519036,Markham,ON,CA,338503,43.8805,-79.2961,168,America/Toronto,-5.0000
72,US1253000,Orlando,FL,US,333888,28.4728,-81.3202,54,America/New_York,-5.0000
73,US2146027,Lexington,KY,US,329751,38.0407,-84.4583,304,America/New_York,-5.0000
74,US0675000,Stockton,CA,US,324597,37.9766,-121.3086,6,America/Los_Angeles,-8.0000
75,US3451000,Newark,NJ,US,323808,40.7242,-74.1726,22,America/New_York,-5.0000
76,CA3519028,Vaughan,ON,CA,323103,43.8372,-79.5632,218,America/Toronto,-5.0000
77,US0662000,Riverside,CA,US,323057,33.9381,-117.3932,257,America/Los_Angeles,-8.0000
78,US0636770,Irvine,CA,US,318764,33.6784,-117.7713,32,America/Los_Angeles,-8.0000
79,US4817000,Corpus Christi,TX,US,317247,27.7543,-97.1734,11,America/Chicago,-6.0000
80,US0669000,Santa Ana,CA,US,315586,33.7363,-117.8829,39,America/Los_Angeles,-8.0000
81,US3915000,Cincinnati,OH,US,314367,39.1402,-84.5058,267,America/New_York,-5.0000
